date,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-07-08 14:00:00+00:00,25.0,61.0,2.2
2024-07-08 15:00:00+00:00,25.0,61.0,2.7
2024-07-08 16:00:00+00:00,26.111111,61.0,5.4
2024-07-08 17:00:00+00:00,23.888889,69.0,5.4
2024-07-08 18:00:00+00:00,22.222222,69.0,4.5
2024-07-08 19:00:00+00:00,21.111111,73.0,1.3
2024-07-08 20:00:00+00:00,20.0,83.0,3.1
2024-07-08 21:00:00+00:00,20.0,83.0,2.7
2024-07-08 22:00:00+00:00,17.777778,94.0,3.1
2024-07-09 23:00:00+00:00,18.888889,88.0,2.2
2024-07-09 00:00:00+00:00,17.777778,94.0,1.3
2024-07-09 01:00:00+00:00,17.222222,94.0,2.7
2024-07-09 02:00:00+00:00,17.777778,94.0,0.9
2024-07-09 03:00:00+00:00,17.777778,94.0,0.9
2024-07-09 04:00:00+00:00,17.222222,94.0,1.3
2024-07-09 05:00:00+00:00,17.777778,94.0,2.2
2024-07-09 06:00:00+00:00,18.888889,94.0,2.7
2024-07-09 07:00:00+00:00,21.111111,88.0,3.6
2024-07-09 08:00:00+00:00,22.222222,83.0,3.1
2024-07-09 09:00:00+00:00,23.888889,73.0,4.5
2024-07-09 10:00:00+00:00,25.0,69.0,5.8
2024-07-09 11:00:00+00:00,27.222222,61.0,6.3
2024-07-09 12:00:00+00:00,27.777778,58.0,5.4
2024-07-09 13:00:00+00:00,28.888889,55.0,3.6
2024-07-09 14:00:00+00:00,30.0,48.0,4.0
2024-07-09 15:00:00+00:00,30.0,48.0,4.5
2024-07-09 16:00:00+00:00,30.0,48.0,4.5
2024-07-09 17:00:00+00:00,30.0,48.0,4.0
2024-07-09 18:00:00+00:00,30.0,48.0,4.0
2024-07-09 19:00:00+00:00,28.888889,51.0,3.1
2024-07-09 20:00:00+00:00,26.111111,65.0,1.3
2024-07-09 21:00:00+00:00,23.888889,73.0,1.3
2024-07-09 22:00:00+00:00,22.777778,73.0,2.2
2024-07-10 23:00:00+00:00,21.111111,83.0,1.3
2024-07-10 00:00:00+00:00,21.111111,88.0,0.9
2024-07-10 01:00:00+00:00,20.0,88.0,1.3
2024-07-10 02:00:00+00:00,21.111111,83.0,2.2
2024-07-10 03:00:00+00:00,20.0,88.0,2.2
2024-07-10 04:00:00+00:00,20.0,88.0,2.7
2024-07-10 05:00:00+00:00,21.111111,88.0,1.3
2024-07-10 06:00:00+00:00,22.222222,83.0,2.7
2024-07-10 07:00:00+00:00,23.888889,78.0,1.3
2024-07-10 08:00:00+00:00,27.222222,65.0,2.2
2024-07-10 09:00:00+00:00,27.777778,62.0,2.7
2024-07-10 10:00:00+00:00,30.0,55.0,2.7
2024-07-10 11:00:00+00:00,31.111111,46.0,2.2
2024-07-10 12:00:00+00:00,32.777778,43.0,2.7
2024-07-10 13:00:00+00:00,32.777778,41.0,3.1
